study_id,transcript_id,log2fc,pvalue,padj,n_ad,n_control,ensembl_id
GSE53697,C1orf50,-0.0656538427675372,0.4613916976835169,0.9999543342423776,9,8,
GSE53697,TMUB2,0.0094788687471076,0.927553347541202,0.9999543342423776,9,8,
GSE53697,C19orf50,0.0094724748161825,0.9273380854199652,0.9999543342423776,9,8,
GSE53697,C7orf26,0.0207513160444698,0.8842966857280592,0.9999543342423776,9,8,
GSE53697,OTUB2,0.0332357983795374,0.7207112213633,0.9999543342423776,9,8,
GSE53697,PCYOX1L,-0.1973469693102671,0.4557597188661738,0.9999543342423776,9,8,
GSE53697,YIPF2,0.0464542240621197,0.6465326295441006,0.9999543342423776,9,8,
GSE53697,PRR14,-0.1802137241717827,0.6283427564958528,0.9999543342423776,9,8,
GSE53697,C17orf53,-0.1094850624650916,0.5722960187739334,0.9999543342423776,9,8,
GSE53697,C7orf49,0.0326875495221763,0.8151710004770486,0.9999543342423776,9,8,
GSE53697,GDAP1L1,-0.0052589312379014,0.9781754887778336,0.9999543342423776,9,8,
GSE53697,LRFN4,-0.1034253177976376,0.5954229305323587,0.9999543342423776,9,8,
GSE53697,C1orf135,0.0778134210269316,0.580158313040999,0.9999543342423776,9,8,
GSE53697,VKORC1,0.0197579456920133,0.897124108497549,0.9999543342423776,9,8,
GSE53697,C19orf43,-0.1574228515005709,0.1804945850877199,0.9999543342423776,9,8,
GSE53697,MIS12,0.0145141009922342,0.8866807380705455,0.9999543342423776,9,8,
GSE53697,CUEDC2,-0.0333053023058615,0.7982521000073232,0.9999543342423776,9,8,
GSE53697,SCNM1,-0.0081826060977108,0.9291259755863536,0.9999543342423776,9,8,
GSE53697,METRN,-0.0505689600988636,0.8678816173575656,0.9999543342423776,9,8,
GSE53697,DBNDD1,-0.0432051820531009,0.8050205650091748,0.9999543342423776,9,8,
GSE53697,DDX50,0.0685097773595071,0.3484370340201491,0.9999543342423776,9,8,
GSE53697,PRNPIP,0.1316467198078825,0.4618175882230073,0.9999543342423776,9,8,
GSE53697,PDCL3,-0.0678925053766321,0.6140137765410802,0.9999543342423776,9,8,
GSE53697,SPATA5L1,-0.0864751441537614,0.4177457403972545,0.9999543342423776,9,8,
GSE53697,ZNF655,0.0249264869284759,0.7722397515459114,0.9999543342423776,9,8,
GSE53697,AHNAK,0.1686743343082977,0.5443840426939175,0.9999543342423776,9,8,
GSE53697,C20orf195,0.0656443277062572,0.0391181436062319,0.9999543342423776,9,8,
GSE53697,OBFC2B,0.1371566804272115,0.4729660454446999,0.9999543342423776,9,8,
GSE53697,NUP37,0.2264526961714623,0.2736562472359584,0.9999543342423776,9,8,
GSE53697,C7orf25,0.0221977853936525,0.7331262703275128,0.9999543342423776,9,8,
GSE53697,CENPM,0.0949428570533289,0.4500838985759262,0.9999543342423776,9,8,
GSE53697,C17orf39,0.0697544409517174,0.6508591977865257,0.9999543342423776,9,8,
GSE53697,GGCT,0.0362752174187246,0.8636277722119785,0.9999543342423776,9,8,
GSE53697,DDA1,-0.0116611526557139,0.9241394440220574,0.9999543342423776,9,8,
